Start Time (s),Duration (s),Text
0.12,12.519,दिल ये मेरा तेरे दिल से जा मिला है रब से
5.64,11.96,जिसको मांगा तू हसला है कॉलेज में ही
12.639,8.321,थी कहां थी तुम कहां थी तुम रूमी मुझे
17.6,6.24,अपना ख्याल खुद अकेले ही रखना चाहिए था
20.96,6.2,अकेले क्यों मैं रखूंगा तुम्हारे साथ
23.84,7.04,तुम्हारा ख्याल तुम रख नहीं
27.16,4.58,पाओगे ताई जान रखने नहीं देंगी
30.88,3.6,तुम कहां जा रहे
31.74,5.86,[संगीत]
34.48,6.44,हो मुझे वो डॉक्टर ने रिपोर्ट सुगाई
37.6,5.32,हालाकि यह बैग भी डॉक्टर ने मंगवाया खुद
40.92,4.319,बताती तो मैं खड़ा हो जाता ढाल बनकर
42.92,2.319,तुम्हारे
46.84,6.6,सामने मुझे जवाब चाहिए
50.48,8.879,आला क्या लगता हमजा मैंने कोशिश नहीं की
53.44,7.39,थी ये मेरा तेरे दिल से जा मिला है रब से
59.359,2.601,जिसको
60.83,5.609,[संगीत]
61.96,7.56,त है इतनी बड़ी चीटिंग इतनी बड़ी चीटिंग
66.439,6.04,मैं तो सोच भी नहीं सकती थी कि तुम कहां
69.52,6.919,गई थी उसके साथ किधर गई थी बोलो मेरा ज ना
72.479,8.041,आजमाओ बोलो हलवा पुरी खाने गई थी और उसके
76.439,8.04,बा पार्क बस हमारी इज्जत की कीमत एक हलवा
80.52,8.52,पूरी रूमी एक हलवा
84.479,8.481,पूरी या अल्लाह रस की कितनी इज्जत है इस
89.04,6.92,शहर में अगर किसी ने देख लिया हुआ था मेरे
92.96,7.4,खुदाया किसी ने नहीं देखा होगा मैं अपना
95.96,4.4,मुह ढप के गई थी तेरे जैसी का मुह तो
100.759,6.201,कवर आवाज ना
103.28,6.799,निकले आवाज ना निकले
106.96,5.92,रू मेरी समझ में नहीं आ रहा मैं क्या करूं
110.079,6.801,मारू कूटू तुझे गालिया
112.88,7.159,दूं री बेबसी देख रू मैं किसी से कुछ कह
116.88,6.08,भी नहीं सकती
120.039,4.321,बेटा शिकस्त तस्लीम करना तो मेरे भी खून
122.96,6.199,में शामिल नहीं
124.36,4.799,है बिल्कुल नहीं है
131.23,40.05,[संगीत]
171.56,2.759,क्या सोच र हो
175.68,6.16,हाला बताओ ना प्लीज मैं जानना चाहती हूं
179.12,2.72,कि तुम क्या सोच
183.12,6.039,मैं जानना चाहती हूं कि
185.239,6.56,मैं कुछ सोचती क्यों
189.159,6.241,नहीं
191.799,6.481,मेरा मेरा दिमाग ऐसे जैसे
195.4,7.69,एक स्लेट
198.28,6.76,हो जिस पर कुछ दर्ज ना किया गया
203.09,4.95,[संगीत]
205.04,5.68,हो मैं कुछ सोचना चाहती
208.04,5.32,हूं किस बारे
210.72,2.64,अपने बारे
215.08,7.0,में मैंने कभी अपने बारे में नहीं
219.56,8.399,सोचा हमेशा
222.08,5.879,एक एक एक कठपुतली बन कर रही
229.319,6.201,हूं आप फिर समझती
232.41,3.11,[संगीत]
236.84,4.92,हो अपने बारे में क्या सोचना चाहती हो तुम
240.55,3.329,[संगीत]
241.76,5.19,कुछ
243.879,4.481,अच्छा कुछ बहुत अच्छा सोचना
246.95,5.97,[संगीत]
248.36,9.999,चाहती कुछ ऐसा जिसम मेरे साथ सब अच्छा और
252.92,5.439,कुछ बुरा ना हो मैं अपनी कहानी खुद लिखना
259.68,6.44,चाहती हर एक को अपनी कहानी लिखने का
263.04,5.92,हकला तुम भी लिख सकती
266.12,4.44,हो लेकिन एक बात याद रखना कि जब भी लिखो
268.96,3.84,गी
270.56,4.25,तुम्हारी कहानी में मरकज किरदार मेरा ही
272.8,4.88,होगा हर मोड़
274.81,5.829,[संगीत]
277.68,8.359,पर मरियम अगर किसी भी चीज की जरूरत हो कोई
280.639,5.4,भी प्रॉब्लम हो तो मुझे कॉल करना चलता हू
290.2,22.93,[संगीत]
316.41,4.719,[संगीत]
330.41,3.15,[संगीत]
332.24,4.519,हेलो
333.56,5.68,रबिया हां हां सलाम वालेकुम मैं शाहजहां
336.759,2.481,बात कर रही
339.28,5.759,हूं हां
341.52,5.56,हां हां जाहिर है इतने अरसे के बाद मेरी
345.039,4.121,कॉल गई तुम तो तुमने मेरा नंबर सेव नहीं
347.08,4.8,किया हुआ था नहीं नहीं मेरा तो वही सेम ही
349.16,3.52,नंबर है हां उस दिन जब मुलाकात हुई स्वयं
351.88,3.84,पे
352.68,5.2,तो सारी पुरानी बातें याद आ गई मैंने कहा
355.72,6.599,फोन कर
357.88,8.039,लो बस ऐसे बैठे बिठाए चली गई पता ही नहीं
362.319,6.88,लगा कुछ सुनने बताने का मौका ही नहीं मिला
365.919,6.12,अब जब वो चली गई है तो एहसास हो रहा है
369.199,5.881,कितनी जिम्मेदारियां उठाई हुई थी उन्होंने
372.039,7.88,बस यह पुराने लोग नारियल की तरह के होते
375.08,6.519,थे ऊपर से सख्त और अंदर से नर्म मीठे
379.919,5.921,लबरेज
381.599,6.04,हां मुझसे तो बहुत ही प्यार करती थी रूमी
385.84,4.84,का रिश्ता तय कर रही थी मैंने पूछा तो
387.639,6.081,मुझे डांट दिया कने लगी तुम्ह क्या मसला
390.68,4.72,है मेरी पोती है मेरी जहां मर्जी होगी
393.72,5.12,वहां
395.4,6.88,करूंगी मुझे तो समझ नहीं आ रहा कि अब मैं
398.84,7.44,अब मैं कैसे करूंगी रूमी का रिश्ता अरे
402.28,6.479,शाहजहां तुम तो रोने लगी कैसे ना रोऊ यह
406.28,4.639,कैसे होता है मुझे तो कुछ पता ही नहीं है
408.759,6.12,मैं डरती हूं कहीं कोई मुझसे गलत ना हो
